"t","timedate","Ph","YTi","VAHU","TAHU","Ta","Ps","Vw","YTi_FF"
62,2023-07-01 10:10:00,0.01171875,17.8299999237061,0,23.6800003051758,16.7,109,0,18.0799999237061
63,2023-07-01 10:20:00,0.0179443359375,17.7850008010864,0,23.6800003051758,16.7,154,0,18.0249996185303
64,2023-07-01 10:30:00,0.0120849609375,17.8849992752075,0,23.6800003051758,16.8,165,0,18.0999994277954
65,2023-07-01 10:40:00,0.0179443359375,18.0574998855591,0,23.5599994659424,16.8,149,0,18.210000038147
66,2023-07-01 10:50:00,0.0120849609375,18.1149997711182,0,23.5599994659424,17.1,263,0,18.3450002670288
67,2023-07-01 11:00:00,0.0238037109375,18.3125,0,23.5599994659424,17.3,228,0,18.3900003433228
68,2023-07-01 11:10:00,0.0120849609375,18.1824998855591,0,23.5599994659424,17.5,227,0,18.3824996948242
69,2023-07-01 11:20:00,0.0238037109375,18.164999961853,0,23.5599994659424,17.6,200,2.8,18.3699998855591
70,2023-07-01 11:30:00,0.0179443359375,18.2200002670288,0,23.5599994659424,17.5,265,1.8,18.3699998855591
71,2023-07-01 11:40:00,0.018310546875,18.1800003051758,0,23.5599994659424,17.4,333,0,18.4675006866455
72,2023-07-01 11:50:00,0.01171875,18.2550001144409,0,23.5599994659424,17.6,421,0,18.3725004196167
73,2023-07-01 12:00:00,0.0179443359375,18.2399997711182,0,23.5599994659424,17.6,170,0,18.3800001144409
74,2023-07-01 12:10:00,0.0120849609375,18.3474998474121,0,23.5599994659424,17.7,580,0,18.4200000762939
75,2023-07-01 12:20:00,0.024169921875,18.4899997711182,0,23.5599994659424,18.2,331,2,18.7925004959106
76,2023-07-01 12:30:00,0.0120849609375,18.5200004577637,0,23.5599994659424,18.3,436,3.2,18.7799997329712
77,2023-07-01 12:40:00,0.0179443359375,18.5949993133545,0,23.5599994659424,18.5,200,0,18.6800003051758
78,2023-07-01 12:50:00,0.0120849609375,18.5174999237061,0,23.5599994659424,18.2,545,1.3,18.5799999237061
79,2023-07-01 13:00:00,0.0238037109375,18.6525001525879,0,23.5599994659424,18.4,264,0,18.8875007629395
80,2023-07-01 13:10:00,0.0120849609375,18.6725006103516,0,23.5599994659424,18.4,339,0,18.6774997711182
81,2023-07-01 13:20:00,0.0179443359375,18.6499996185303,0,23.5599994659424,18.6,663,0,18.7950000762939
82,2023-07-01 13:30:00,0.0120849609375,18.8549995422363,0,23.5599994659424,18.9,592,2.5,18.7775001525879
83,2023-07-01 13:40:00,0.0238037109375,18.835000038147,0,23.5599994659424,18.8,391,1.9,18.9050006866455
84,2023-07-01 13:50:00,0.0120849609375,18.9825000762939,0,23.5599994659424,18.7,543,0,19.0699996948242
85,2023-07-01 14:00:00,0.0179443359375,19.1099996566772,0,23.4300003051758,19.1,448,2.7,19.1999998092651
86,2023-07-01 14:10:00,0.0120849609375,19.1224994659424,0,23.4949998855591,19.2,463,0,19.2775001525879
87,2023-07-01 14:20:00,0.024169921875,19.0874996185303,0,23.5599994659424,19.1,261,0,19.1100006103516
88,2023-07-01 14:30:00,0.096084963530302,19.1174993515015,0,23.4300003051758,19.1,942,4.3,19.2249994277954
89,2023-07-01 14:40:00,5540.16599999741,19.2525005340576,0,23.4300003051758,19.5,355,2.6,19.3850002288818
90,2023-07-01 14:50:00,0.0120849609375,19.3924999237061,0,23.4300003051758,19.7,426,0,19.5300006866455
91,2023-07-01 15:00:00,0.0179443359375,19.4750003814697,0,23.4300003051758,19.6,502,0,19.4425001144409
92,2023-07-01 15:10:00,0.0120849609375,19.6350002288818,0,23.4300003051758,20,1031,0,19.5025005340576
93,2023-07-01 15:20:00,0.0238037109375,19.7775001525879,0,23.4949998855591,20.2,863,0,19.6424999237061
94,2023-07-01 15:30:00,0.01171875,19.9274997711182,0,23.5599994659424,20.7,916,0,19.789999961853
95,2023-07-01 15:40:00,0.018310546875,19.9500007629395,0,23.5599994659424,20.4,555,0,19.8050003051758
96,2023-07-01 15:50:00,0.01171875,19.9825000762939,0,23.5599994659424,20,245,0,19.9525003433228
97,2023-07-01 16:00:00,0.024169921875,20.0050001144409,0,23.5599994659424,19.5,314,1.8,19.9575004577637
98,2023-07-01 16:10:00,0.0120849609375,19.7299995422363,0,23.5599994659424,19,265,4.5,19.7574996948242
